Ref,Station,Depth,dCu 
Moffett_Dupont,6,20,2.01
Moffett_Dupont,6,40,1.727
Moffett_Dupont,6,80,1.532
Moffett_Dupont,6,150,1.698
Moffett_Dupont,6,500,2.205
Moffett_Dupont,6,1000,3.463
Moffett_Dupont,6,1500,4.049
Tanita,5,5,3.093
Tanita,5,10,2.741
Tanita,5,20,2.156
Tanita,5,50,2.146
Tanita,5,100,2.654
Tanita,5,150,2.663
Tanita,5,200,2.293
Tanita,5,330,2.546
Tanita,5,400,2.263
Tanita,5,600,2.751
Tanita,5,800,2.702
Tanita,5,1000,2.8
Tanita,5,1500,4.059
Tanita,5,2000,3.385
Tanita,5,2500,3.639
Tanita,5,3000,3.463
Tanita,5,4000,4.712
Tanita,5,5000,4.722
Takano,CR27,10,2.17
Takano,CR27,21,1.73
Takano,CR27,50,1.69
Takano,CR27,99,1.84
Takano,CR27,199,1.88
Takano,CR27,990,2.09
Takano,CR27,1483,2.43
Takano,CR27,1974,2.52
Takano,CR27,2464,2.72
Takano,CR27,2954,2.97
Moffett_Dupont,4,5,1.346
Moffett_Dupont,4,10,1.327
Moffett_Dupont,4,30,1.161
Moffett_Dupont,4,100,1.346
Moffett_Dupont,4,150,1.717
Moffett_Dupont,4,500,3.444
Moffett_Dupont,4,1500,3.922
Moffett_Dupont,4,3000,3.834
Fijushima,19,30,1.171
Fijushima,19,199,1.561
Fijushima,19,792,2.049
Fijushima,19,1235,2.049
Fijushima,19,1482,2.244
Fijushima,19,1974,1.951
Fijushima,19,2464,2.537
Fijushima,19,2954,2.732
Fijushima,19,4900,4.78
Martin,T7a,20,1.44
Martin,T7a,50,1.58
Martin,T7a,100,1.64
Martin,T7a,150,1.8
Martin,T7a,200,2.12
Martin,T7a,250,2.16
Martin,T7a,290,2.38
Martin,T7a,390,2.32
Martin,T7a,485,2.3
Martin,T7a,580,2.4
Martin,T7a,685,2.38
Martin,T7a,780,2.42
Martin,T7a,875,2.3
Martin,T7a,975,2.33
Martin,T7a,1230,2.38
Martin,T7a,1480,2.44
Martin,T7a,1720,2.77
Martin,T7a,2180,2.95
Martin,T7a,2960,3.21
Martin,T7a,3470,3.59
Martin,T7a,3910,4.48
Coale_Bruland,T7b,8,1.424
Coale_Bruland,T7b,20,1.063
Coale_Bruland,T7b,40,1.21
Coale_Bruland,T7b,60,1.239
Coale_Bruland,T7b,80,1.288
Coale_Bruland,T7b,100,1.024
Coale_Bruland,T7b,150,1.298
Coale_Bruland,T7b,300,1.317
Coale_Bruland,T7b,500,1.454
This_study,P26,8,1.834
This_study,P26,22,1.792
This_study,P26,38,2.117
This_study,P26,50,2.305
This_study,P26,73,2.427
This_study,P26,93,2.284
This_study,P26,131,2.29
This_study,P26,149,2.426
This_study,P26,179,2.782
This_study,P26,197,2.964
This_study,P26,296,2.741
This_study,P26,399,2.919
This_study,P26,596,2.899
This_study,P26,792,2.829
This_study,P26,1090,2.936
This_study,P26,1188,2.955
This_study,P26,1384,3.065
This_study,P26,1580,3.194
This_study,P26,1779,3.224
This_study,P26,1975,3.298
Takano,BD21,11,2.09
Takano,BD21,100,1.36
Takano,BD21,298,1.71
Takano,BD21,594,1.89
Takano,BD21,1186,2.06
Takano,BD21,1777,2.63
Takano,BD21,1974,2.94
Takano,BD21,2071,2.96
Takano,BD21,2170,2.97
Takano,BD21,2268,2.6
Takano,BD21,2366,3.17
Takano,BD21,2399,3.06
This study,P12,10,1.659
This study,P12,25,1.809
This study,P12,40,1.684
This study,P12,48,1.709
This study,P12,72,1.826
This study,P12,97,2.072
This study,P12,149,2.368
This study,P12,198,2.462
This study,P12,246,2.774
This study,P12,297,2.64
This study,P12,396,2.99
This study,P12,591,2.967
This study,P12,667,3.338
This study,P12,693,3.18
This study,P12,792,3.146
This study,P12,989,3.163
This study,P12,1184,3.231
This study,P12,1384,3.349
This study,P12,1579,3.057
This study,P12,1776,3.72
This study,P12,1987,3.38
Fujishima,17,19,0.87
Fujishima,17,49,1.1
Fujishima,17,125,1.3
Fujishima,17,173,1.3
Fujishima,17,248,1.3
Fujishima,17,496,1.9
Fujishima,17,1975,2.2
Fujishima,17,2466,2.9
Fujishima,17,2953,3.2
Coale_Bruland,T6a,8,1.11
Coale_Bruland,T6a,20,1.02
Coale_Bruland,T6a,40,0.9
Coale_Bruland,T6a,60,1.5
Coale_Bruland,T6a,80,0.91
Coale_Bruland,T6a,100,1.06
Coale_Bruland,T6a,150,1.01
Coale_Bruland,T6a,200,1
Coale_Bruland,T6a,300,1.25
Coale_Bruland,T6a,500,1.39
Martin,T6b,20,1.22
Martin,T6b,50,1.25
Martin,T6b,100,1.22
Martin,T6b,150,1.32
Martin,T6b,200,1.38
Martin,T6b,250,1.72
Martin,T6b,300,1.8
Martin,T6b,400,2
Martin,T6b,480,2
Martin,T6b,580,2.3
Martin,T6b,700,2.12
Martin,T6b,800,2.13
Martin,T6b,890,2.27
Martin,T6b,990,2.52
Martin,T6b,1240,2.51
Martin,T6b,1500,2.72
Boyle,226,8,3.5
Boyle,226,36,3.1
Boyle,226,82,1.6
Boyle,226,207,1.5
Boyle,226,382,2.2
Boyle,226,457,1.7
Boyle,226,555,2.2
Boyle,226,688,2.7
Boyle,226,834,3.4
Boyle,226,983,3.9
Boyle,226,1274,3.4
Boyle,226,1422,4.2
Boyle,226,1617,5
Boyle,226,1713,3.9
Boyle,226,2004,4.4
Boyle,226,2149,4.6
Boyle,226,2443,5.2
Boyle,226,3030,5.2
Boyle,226,3422,5.5
Boyle,226,3812,5.3
Boyle,226,4589,5.2
Boyle,226,4783,6
Boyle,226,4800,6.1
Boyle,226,5183,6
Boyle,226,5477,5.8
Takano,TR7,21,0.68
Takano,TR7,100,0.64
Takano,TR7,299,0.77
Takano,TR7,595,1.48
Takano,TR7,991,1.93
Takano,TR7,1484,2.35
Takano,TR7,1979,2.64
Takano,TR7,2958,3.21
Takano,TR7,3938,3.6
Takano,TR7,5882,3.91
Boyle_et_al_1979,202,0,2.4
Boyle_et_al_1979,202,77,1.6
Boyle_et_al_1979,202,227,1.6
Boyle_et_al_1979,202,351,1.6
Boyle_et_al_1979,202,502,2
Boyle_et_al_1979,202,697,2.4
Boyle_et_al_1979,202,820,3.1
Boyle_et_al_1979,202,1127,4.2
Boyle_et_al_1979,202,1216,4.4
Boyle_et_al_1979,202,1616,4.6
Boyle_et_al_1979,202,1822,4.5
Boyle_et_al_1979,202,2235,4.5
Boyle_et_al_1979,202,2439,4.8
Boyle_et_al_1979,202,2645,5
Boyle_et_al_1979,202,2849,4.6
Boyle_et_al_1979,202,3051,5.1
Boyle_et_al_1979,202,3200,5.6
Boyle_et_al_1979,202,3497,4.7
Boyle_et_al_1979,202,3646,5.65
Boyle_et_al_1979,202,3794,6.17
Boyle_et_al_1979,202,3943,6.2
Boyle_et_al_1979,202,4090,5.5
Boyle_et_al_1979,202,4242,5.7
Boyle_et_al_1979,202,4392,6.6
Boyle_et_al_1979,202,4541,6.7
Boyle_et_al_1979,202,4686,6.6
Boyle_et_al_1979,202,4846,6.6
Bruland_1980,H17bru,0,0.54
Bruland_1980,H17bru,75,0.69
Bruland_1980,H17bru,185,0.91
Bruland_1980,H17bru,375,1.34
Bruland_1980,H17bru,595,1.9
Bruland_1980,H17bru,780,1.95
Bruland_1980,H17bru,985,2.05
Bruland_1980,H17bru,1502,2.09
Bruland_1980,H17bru,2025,3.18
Bruland_1980,H17bru,2570,3.46
Bruland_1980,H17bru,3055,4
Bruland_1980,H17bru,3533,4.26
Bruland_1980,H17bru,4000,4.77
Bruland_1980,H17bru,4635,4.85
Bruland_1980,H17bru,4875,5.34
Biller&Bruland_2012,SAFe,0,0.62
Biller&Bruland_2012,SAFe,58.56502856,0.56
Biller&Bruland_2012,SAFe,91.55523637,0.64
Biller&Bruland_2012,SAFe,174.2929448,0.73
Biller&Bruland_2012,SAFe,182.2726081,0.84
Biller&Bruland_2012,SAFe,248.2986218,0.97
Biller&Bruland_2012,SAFe,306.208178,1.04
Biller&Bruland_2012,SAFe,338.7880031,1.26
Biller&Bruland_2012,SAFe,379.8490704,1.42
Biller&Bruland_2012,SAFe,478.5917034,1.72
Biller&Bruland_2012,SAFe,594.5932082,1.79
Biller&Bruland_2012,SAFe,685.5157712,1.92
Biller&Bruland_2012,SAFe,826.3682273,2
Biller&Bruland_2012,SAFe,984.2059665,1.94
Biller&Bruland_2012,SAFe,1232.624283,2.14
Biller&Bruland_2012,SAFe,1489.295852,2.35
Biller&Bruland_2012,SAFe,1985.767701,2.88
Biller&Bruland_2012,SAFe,2481.874765,3.54
Biller&Bruland_2012,SAFe,2987.010248,3.93
Biller&Bruland_2012,SAFe,3458.859136,4.36
Biller&Bruland_2012,SAFe,3972.544259,4.66
Biller&Bruland_2012,SAFe,4478.318115,4.82
Takano,TR15,20,1.6
Takano,TR15,99,1.91
Takano,TR15,296,2.03
Takano,TR15,593,2.34
Takano,TR15,989,2.32
Takano,TR15,1482,2.14
Takano,TR15,1974,2.67
Takano,TR15,2953,3.08
Takano,TR15,3929,3.7
Takano,TR15,4781,4.57
Coale_Bruland,T4,20,0.43
Coale_Bruland,T4,40,0.43
Coale_Bruland,T4,60,0.57
Coale_Bruland,T4,80,0.46
Coale_Bruland,T4,100,0.51
Coale_Bruland,T4,150,0.8
Coale_Bruland,T4,200,0.86
Coale_Bruland,T4,300,0.91
Coale_Bruland,T4,500,1.44
