Stn,Lat,Lon,Depth,dCu,dCu_StDev,Sal,O2,Phosph,Nitrate,Silicate,,,,,,,,,
,[North],[West],[m],[nmol kg-1],[nmol kg-1],[PSS-78],[umol kg-1],[umol kg-1],[umol kg-1],[umol kg-1],,,,,,,,,
P4,48.66,-126.66,10,2.16,0.03,31.8,162.8,0.26,0.02,2.1,,,,,,,,,
P4,48.66,-126.66,25,1.99,0.13,32.2,197.3,0.34,0.06,3.6,,,,,,,,,
P4,48.66,-126.66,35,2.11,0.03,32.3,225.0,0.34,0.20,3.9,,,,,,,,,
P4,48.66,-126.66,40,1.66,0.02,32.4,239.8,0.58,2.24,6.0,,,,,,,,,
P4,48.66,-126.66,50,1.91,0.09,32.5,228.0,0.68,3.41,6.2,,,,,,,,,
P4,48.66,-126.66,75,2.16,0.13,32.6,208.0,0.95,9.17,6.2,,,,,,,,,
P4,48.66,-126.66,100,2.14,0.03,33,168.0,1.41,17.76,20.0,,,,,,,,,
P4,48.66,-126.66,150,2.37,0.05,33.8,114.0,2.05,27.51,35.9,,,,,,,,,
P4,48.66,-126.66,200,2.36,0.08,33.9,97.0,2.22,30.54,44.9,,,,,,,,,
P4,48.66,-126.66,250,2.31,0.05,33.9,83.0,2.35,31.61,47.4,,,,,,,,,
P4,48.66,-126.66,300,2.63,0.13,34,70.0,2.57,35.41,59.2,,,,,,,,,
P4,48.66,-126.66,360,2.82,0.04,34,50.0,2.75,36.98,63.3,,,,,,,,,
P4,48.66,-126.66,400,2.91,0.02,34,42.0,2.84,37.85,67.6,,,,,,,,,
P4,48.66,-126.66,600,2.83,0.04,34.2,15.0,3.14,41.17,90.0,,,,,,,,,
P4,48.66,-126.66,700,2.80,0.02,34.2,11.0,3.21,41.95,99.9,,,,,,,,,
P4,48.66,-126.66,800,2.93,0.05,34.3,9.0,3.26,42.15,106.0,,,,,,,,,
P4,48.66,-126.66,900,3.01,0.02,34.3,9.0,3.27,43.02,113.1,,,,,,,,,
P4,48.66,-126.66,1000,2.76,0.01,34.4,10.0,3.28,42.44,119.2,,,,,,,,,
P4,48.66,-126.66,1100,3.52,0.04,34.4,12.0,3.25,42.54,125.6,,,,,,,,,
P4,48.66,-126.66,1200,3.63,0.01,34.4,15.0,3.24,42.54,132.6,,,,,,,,,
